lat,lng,buildings
7.37805,125.034,199773
15.3367,120.701,1636253
14.2856,120.339,456343
6.50659,125.767,119106
10.1775,123.95,184895
11.2564,124.328,289562
13.9882,123.241,90305
14.5435,121.419,2251729
46.0419,71.5279,6
21.3144,41.8201,1
21.6057,45.9014,1
49.0008,63.9838,27
22.6342,45.5806,118
22.8347,44.477,110
28.2252,46.9807,10
28.9512,43.4863,1
26.1257,47.6101,2
26.3638,46.4994,4
17.7551,46.0833,2
28.1086,42.6701,23
49.4904,54.6592,1082
25.7461,52.6958,51
19.2587,42.5453,45
28.9194,37.7415,35
19.9372,44.3876,101
53.1312,65.3611,539
20.7605,38.7674,9
22.1757,42.5846,57
18.9245,44.716,29
51.9678,65.4126,2490
24.051,48.2095,51
18.0853,43.9745,36
48.3559,62.5007,2
23.2445,47.4354,3
23.0248,48.4986,17
20.3932,47.2699,9
19.9312,53.9414,6
27.4601,40.655,67
21.8005,44.8133,77
29.807,38.5567,40
44.9188,65.6762,41546
18.2217,53.4273,196
43.8035,78.4708,9112
25.7028,39.0602,63
21.1395,42.9441,95
22.4291,46.666,87
47.2751,65.596,38
23.46,46.3532,80
50.025,60.7645,1891
28.7305,38.9994,28
50.2343,67.0742,1445
24.8482,48.988,510
25.8777,37.8391,10
47.4862,58.1028,4
23.1111,52.3265,29
21.5708,56.4393,27
50.1721,63.9025,175
23.8209,49.2685,119
44.5162,77.1713,4712
23.2198,42.2167,12
24.4585,40.6679,37
22.9548,55.2333,86
30.4724,40.6414,32
25.5443,45.7049,406
46.097,65.6369,61
18.9713,54.1437,12
18.4004,41.8013,3311
20.4471,41.0623,257
18.2449,42.8958,812
25.8827,48.7006,11
17.9219,45.0372,94
64.907,-165.462,1673
26.0438,36.603,295
61.8082,-161.428,237
27.1153,36.1396,197
26.7715,38.631,42
26.9481,37.3927,225
25.9816,43.4191,5500
19.4191,41.4359,352
18.8142,50.5759,8
19.0083,49.5891,35
28.7569,48.9139,505
17.3918,42.1586,297
28.474,45.8363,1056
19.5745,40.3112,58
20.282,42.1868,41
31.5492,40.2143,257
29.9967,37.2806,20
24.3635,51.0766,702
20.7748,45.1418,212
48.6427,57.8951,836
26.1502,51.6009,4501
52.5033,63.7282,5427
27.7107,49.2066,365
49.7963,57.678,39596
27.9706,48.1042,43
44.9686,78.6987,58332
22.5285,40.289,558
26.0432,56.7058,4487
-7.04616,129.321,184
19.2739,57.7406,1074
17.8214,55.2375,74
16.8915,55.419,90
-1.7333,124.951,7283
17.4136,56.2061,13
28.1897,35.6652,2803
27.2553,41.8611,724
21.4838,40.6801,688
47.6944,61.0594,63
25.0849,47.9135,14
46.5701,73.0578,219
20.6067,39.9223,83
47.0179,59.6598,129
25.6354,49.7706,4250
17.5853,47.1127,75
17.0833,54.5348,4801
24.4987,46.0329,2934
27.844,38.1916,614
25.3171,46.819,4366
22.6954,39.1175,4782
23.5951,58.088,25797
29.0226,47.7947,164113
42.2378,17.5504,6295
43.2081,18.3179,122059
